History|Literature,SiRO,English,"Ruchames, Louis, 1917-",The abolitionists; a collection of their writing,HathiTrust,Nonfiction,abolitionists movements,Antislavery movements--United States | Slavery--United States--Controversial literature | Abolitionists,[1963],Codex,https://books.google.com/books/content?id=9Ml2AAAAMAAJ&printsec=frontcover&img=1&zoom=5,http://catalog.hathitrust.org/Record/000408823
History,SiRO,English,"American Anti-Slavery Society | Garrison, William Lloyd, 1805-1879, recipient",[Letter to] To the Abolitionists of Great Britain [manuscript],Internet Archive,Correspondence,abolitionists movements,"Garrison, William Lloyd, 1805-1879 | Gibbons, J. S. (James Sloan), 1810-1892 | Collins, John A. (John Anderson), 1810-1879 | Van Buren, Martin, 1782-1862 | Harrison, William Henry, 1773-1841 | Smith, Gerrit, 1797-1874 | Grimke, Angelina Emily, 1805-1879 |",,Manuscript,,http://archive.org/details/lettertotoabolit00amer
